replicate,Rep1,Rep1,Rep1,Rep1,Rep2,Rep2,Rep2,Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2,ave_Rep1_Rep2
measurement,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
NHP2L1,P1P2,0.254668203,-0.01416495,10,P1P2,0.624808908,-0.006619579,10,P1P2,0.944161955,-0.026388817,10
NHS,P1P2,0.235883228,0.010922091,10,P1P2,0.764287503,0.015946002,10,P1P2,0.388271207,0.018602281,10
NHSL1,P2,0.588608046,0.017238231,9,P1,0.659802899,0.012200821,10,P1,0.467554952,0.000548333,10
NHSL2,P1P2,0.874596877,-0.06545622,10,P1P2,0.235777741,-0.121510409,10,P1P2,0.930494924,-0.10409267,10
NICN1,P1P2,0.190640005,-0.023360019,10,P1P2,0.297443272,-0.083530685,10,P1P2,0.173131865,-0.063251881,10
NID1,P1P2,0.824677474,-0.057635987,10,P1P2,0.131145142,-0.114662428,10,P1P2,0.200311018,-0.088006273,10
NID2,P1P2,0.980155971,-0.019032432,10,P1P2,0.878986302,-0.006807309,10,P1P2,0.831983709,-0.00976116,10
NIF3L1,P1P2,0.76966928,-0.009147567,10,P1P2,0.637526698,0.01030493,10,P1P2,0.526176625,-0.003544994,10
NIM1,P1P2,0.083045757,-0.053644464,10,P1P2,0.970071771,-0.072967317,10,P1P2,0.252590041,-0.056871022,10
NIN,P1P2,0.057723198,-0.047187843,10,P1P2,0.113482514,-0.023289952,9,P1P2,0.027377632,-0.026424062,9
NINJ1,P1P2,0.112556954,-0.100389394,10,P1P2,0.237563606,-0.143020971,10,P1P2,0.15462989,-0.121705183,10
NINJ2,P2,0.531853128,-0.041249913,10,P2,0.214011218,-0.030967713,10,P2,0.151947621,-0.027432733,10
NINL,P1P2,0.495572848,-0.010255357,10,P1P2,0.611487798,0.005606775,10,P1P2,0.895388882,-0.009065454,10
NIP7,P1P2,2.34E-05,-0.290457416,10,P1P2,8.93E-05,-0.282850502,10,P1P2,2.53E-06,-0.275618005,10
NIPA1,P1P2,0.120896493,-0.014731561,10,P1P2,0.795449592,-0.01947783,9,P1P2,0.04350709,0.017135854,9
NIPA2,P1P2,0.429367276,0.014130323,10,P1P2,0.328100434,-0.016311323,10,P1P2,0.925866476,-0.010559103,10
NIPAL1,P1P2,0.083589859,-0.092395445,10,P1P2,0.496791928,-0.092265977,10,P1P2,0.189283781,-0.098818772,10
NIPAL2,P1P2,0.799406238,-0.024403948,10,P1P2,0.102150346,-0.04638814,10,P1P2,0.323874184,-0.029868033,10
NIPAL3,P1P2,0.683800009,-0.003820409,10,P1P2,0.359972885,-0.022893207,10,P1P2,0.529985146,-0.001314148,10
NIPAL4,P1P2,0.084372151,-0.041862395,10,P1P2,0.984337212,0.007848068,10,P1P2,0.233894739,-0.013114965,10
NIPBL,P1P2,0.959628738,0.018383344,10,P1P2,0.357840115,-0.018670827,10,P1P2,0.712900118,-0.010538457,10
NIPSNAP1,P1P2,0.978995763,0.063760075,10,P1P2,0.673656262,-0.000492471,10,P1P2,0.651386405,0.019510147,10
NIPSNAP3A,P1P2,0.86760989,0.032092868,10,P1P2,0.455051011,-0.012769678,10,P1P2,0.903687575,0.00820917,10
NIPSNAP3B,P1P2,0.263881011,-0.014252146,10,P1P2,0.056837124,-0.051418145,10,P1P2,0.048240943,-0.038099129,10
NISCH,P1P2,0.298733138,-0.000980554,10,P1P2,0.595570023,-0.004720871,10,P1P2,0.812273003,-0.005269241,10
NIT1,P1P2,0.073242161,-0.017750866,10,P1P2,0.216163495,-0.011399328,10,P1P2,0.041158424,-0.017485478,10
NIT2,P1P2,0.103315709,-0.04020312,10,P1P2,0.460865096,0.007375826,10,P1P2,0.303457694,-0.012231206,10
NKAIN1,P1P2,0.627809389,-0.054631106,10,P1P2,0.817033057,-0.033818991,10,P1P2,0.918697395,-0.052076802,10
NKAIN2,P1P2,0.711456696,-0.003474889,10,P1P2,0.43460265,-0.008363899,10,P1P2,0.349648125,-0.002079473,10
NKAIN3,P1P2,0.390539027,0.025216986,10,P1P2,0.017722837,-0.047625917,10,P1P2,0.420261459,-0.011304965,10
NKAIN4,P2,0.047935283,-0.040218788,10,P2,0.072112862,-0.028060674,10,P2,0.006461394,-0.027270758,10
NKAP,P1P2,3.18E-05,-0.171440635,10,P1P2,8.05E-06,-0.247135757,10,P1P2,1.96E-05,-0.207690715,10
NKAPL,P1P2,0.918552549,0.012775875,10,P1P2,0.292015319,0.026047308,10,P1P2,0.515023547,0.011419889,10
NKD1,P1P2,0.937508272,-0.052065425,10,P1P2,0.341434136,-0.059197206,10,P1P2,0.689371915,-0.055772844,10
NKD2,P1P2,0.206897872,0.046889256,10,P1P2,0.165304901,0.016731922,10,P1P2,0.125523931,0.031393084,10
NKG7,P1P2,0.253638376,0.011720318,10,P1P2,0.21315465,0.013241568,10,P1P2,0.146851742,0.016745374,10
NKIRAS1,P1P2,0.487693836,-0.018557311,10,P1P2,0.99222624,-0.009031082,10,P1P2,0.679957217,-0.022055395,10
NKIRAS2,P1P2,0.17432573,0.044183238,10,P1P2,0.682278174,-0.020120975,10,P1P2,0.485954251,0.020953245,10
NKPD1,P1P2,0.471244978,0.00803533,10,P1P2,0.655595732,-0.009747309,10,P1P2,0.364702657,-0.003066159,10
NKRF,P1P2,0.026816756,-0.032096471,9,P1P2,0.064183736,-0.041121346,10,P1P2,0.025541778,-0.02772768,9
NKTR,P1P2,0.439284695,-0.008744961,10,P1P2,0.002828778,-0.051350529,10,P1P2,0.050428636,-0.039626799,10
NKX1-1,ENST00000422806.1,0.098909156,-0.034566558,9,ENST00000422806.1,0.523833868,0.008045662,9,ENST00000422806.1,0.283600243,-0.029580306,9
NKX1-2,P1P2,0.338084132,0.031016455,9,P1P2,0.730601504,-0.005907577,9,P1P2,0.162939984,0.021563476,9
NKX2-1,P1P2,0.54839903,-0.021348348,10,P1P2,0.610264521,-0.01268518,10,P1P2,0.737802975,-0.022255785,10
NKX2-2,P1P2,0.847966227,-0.005170072,10,P1P2,0.274086022,-0.028116339,10,P1P2,0.445716861,-0.008565344,10
NKX2-3,P1P2,0.906785631,-0.017148654,10,P1P2,0.266002748,-0.00028436,10,P1P2,0.692807496,-0.010619981,10
NKX2-4,P1P2,0.860747515,-0.00264811,10,P1P2,0.374264265,0.016378895,10,P1P2,0.510896427,0.005251934,10
NKX2-5,P1P2,0.016734128,-0.065267242,10,P1P2,0.03603651,-0.053355747,10,P1P2,0.004167115,-0.055384099,10
NKX2-6,P1P2,0.555857816,0.018826542,9,P1P2,0.31001383,-0.002687813,9,P1P2,0.545802752,-0.000462022,9
NKX2-8,P1P2,0.490434626,-0.010450412,10,P1P2,0.552874931,-0.013494525,10,P1P2,0.998954359,-0.008486668,10
NKX3-1,P1P2,0.787294803,-0.034021562,10,P1P2,0.030509792,-0.032014154,10,P1P2,0.360404289,-0.028240614,10
NKX3-2,P1P2,0.940979938,0.022249334,10,P1P2,0.168698733,-0.015901316,10,P1P2,0.655798601,-0.00286037,10
NKX6-1,P1P2,0.325962036,-0.135388201,10,P1P2,0.554530139,-0.148167961,10,P1P2,0.640513645,-0.146678265,10
NKX6-2,P1P2,0.164396609,-0.041918919,10,P1P2,0.19154781,-0.004089406,10,P1P2,0.737583283,-0.008782584,10
NKX6-3,P1P2,0.041200461,-0.041970495,10,P1P2,0.037014078,-0.040050592,10,P1P2,0.007870342,-0.041010543,10
NLE1,P1P2,5.38E-05,-0.302847925,10,P1P2,8.51E-06,-0.301031215,10,P1P2,2.90E-05,-0.294407328,10
NLGN1,ENST00000401917.3,0.089300685,0.032477251,10,ENST00000401917.3,0.859527457,-0.001444866,10,ENST00000401917.3,0.154124243,0.008122147,10
NLGN2,P1P2,0.493550837,-0.062261908,10,P1P2,0.232462,-0.080675982,10,P1P2,0.155729778,-0.074166523,10
NLGN3,P1P2,0.013357317,0.030800761,9,P1P2,0.45078154,-0.011127456,9,P1P2,0.212186718,0.008127477,9
NLGN4X,P1,0.238712068,0.014319614,10,P2,0.259802971,-0.006808266,10,P2,0.552542039,-0.004153556,10
NLGN4Y,P1,0.099433558,-0.040841568,10,P2,0.421886435,0.010418713,10,P1,0.424471882,-0.025045388,10
NLK,P1P2,0.565785582,-0.005339923,10,P1P2,0.027190002,-0.031133445,10,P1P2,0.16554174,-0.029152118,10
NLN,P1P2,0.945378983,0.039254494,10,P1P2,0.906118888,-0.009969587,10,P1P2,0.756774833,0.008356475,10
NLRC3,P1P2,0.301378816,-0.032327865,10,P1P2,0.346997585,-0.038662285,10,P1P2,0.320174347,-0.031527722,10
NLRC4,P1P2,0.572199939,0.028963323,10,P1P2,0.161962713,-0.016283383,10,P1P2,0.638223391,0.008907249,10
NLRC5,P1P2,0.853895638,-0.04726345,10,P1P2,0.150666146,-0.106048546,10,P1P2,0.431259598,-0.066043007,10
NLRP1,P1P2,0.507051855,0.012845401,10,P1P2,0.071997799,-0.024249648,10,P1P2,0.495114575,-0.006682563,10
NLRP10,P1P2,0.846940846,0.005278365,10,P1P2,0.730689615,0.006830408,10,P1P2,0.921009309,0.011857132,10
NLRP11,P2,0.4633141,0.005729804,10,P2,0.289161024,0.00431589,10,P2,0.370120453,0.017041866,10
NLRP12,P1P2,0.914628131,-0.009091825,10,P1P2,0.633171777,-0.011808069,10,P1P2,0.746608034,-0.012131709,10
NLRP13,"ENST00000342929.3,ENST00000588751.1",0.727997336,0.005566181,10,"ENST00000342929.3,ENST00000588751.1",0.425087075,-0.009526626,10,"ENST00000342929.3,ENST00000588751.1",0.578543522,-0.017121097,10
NLRP14,P1P2,0.877348569,0.035211457,10,P1P2,0.583960134,-0.007401306,9,P1P2,0.621201373,-0.01006692,9
NLRP2,P1P2,0.945610559,-0.029477171,10,P1P2,0.321100784,-0.013652642,10,P1P2,0.750360301,-0.016256687,10
NLRP3,P1P2,0.636087769,-0.028874146,10,P1P2,0.302938251,-0.008266071,10,P1P2,0.653485941,-0.0244185,10
NLRP4,P1P2,0.10611679,-0.04322798,10,P1P2,0.731017703,-0.025946781,10,P1P2,0.201644605,-0.031669867,10
NLRP5,ENST00000390649.3,0.158389454,-0.02107551,10,ENST00000390649.3,0.755097394,0.007923963,10,ENST00000390649.3,0.461508763,-0.007049596,10
NLRP6,P1P2,0.267190499,-0.023984395,10,P1P2,0.398416896,-0.017702845,10,P1P2,0.953205379,-0.017627214,10
NLRP7,P2,0.095842577,-0.038873231,10,P1,0.001584961,0.039959714,10,P2,0.21880893,-0.022369476,10
NLRP8,ENST00000291971.3,0.735658107,-0.006782717,10,ENST00000291971.3,0.706119224,-0.01439928,10,ENST00000291971.3,0.807532511,-0.007519576,10
NLRP9,ENST00000332836.2,0.256005233,0.023890913,10,ENST00000332836.2,0.151660056,0.027628776,10,ENST00000332836.2,0.072241692,0.019085605,10
NLRX1,P1P2,0.178524598,-0.037652855,9,P1P2,0.61184388,-0.004641494,9,P1P2,0.200287395,-0.017605293,9
NMB,P1P2,0.639100015,-0.049344963,10,P1P2,0.774958505,-0.001910055,10,P1P2,0.734948658,-0.032417346,10
NMBR,P1P2,0.919360767,-0.005745757,10,P1P2,0.482625461,-0.009761586,10,P1P2,0.51445974,-0.010313432,10
NMD3,P1P2,5.05E-08,-0.248742925,10,P1P2,4.86E-08,-0.298675738,10,P1P2,4.93E-08,-0.271516936,10
NME1,P2,0.675369483,0.013820355,9,P1,0.273575953,0.007467652,10,P1,0.313556591,0.004308311,10
NME1-NME2,P1P2,0.46039245,-0.013168467,10,P1P2,0.972970624,0.000737593,10,P1P2,0.61592314,-0.009677393,10
NME2,P1P2,0.46039245,-0.013168467,10,P1P2,0.972970624,0.000737593,10,P1P2,0.61592314,-0.009677393,10
NME3,P1P2,0.288756559,-0.021268585,9,P1P2,0.176128144,-0.028235123,9,P1P2,0.054054961,-0.01784164,9
NME4,P1P2,0.574523026,-0.014870351,9,P1P2,0.198681054,-0.063203149,9,P1P2,0.782421851,-0.033229956,9
NME5,P1P2,0.390699604,0.022090358,10,P1P2,0.025804727,-0.038038887,10,P1P2,0.368567433,-0.01161574,10
NME6,P1P2,0.26325976,0.012590986,10,P1P2,0.276196924,-0.006887751,10,P1P2,0.89308568,0.005629663,10
NME7,P1P2,0.496861879,-0.048383741,10,P1P2,0.027576903,-0.062191931,10,P1P2,0.115436206,-0.053000427,10
NME8,P1P2,0.655089962,0.020606605,10,P1P2,0.215300722,-0.017925631,10,P1P2,0.770989903,-0.008870453,10
NME9,P1P2,0.110821029,-0.019951474,10,P1P2,0.224040631,-0.006243265,10,P1P2,0.049341444,-0.011409996,10
NMI,P1P2,0.133811769,-0.021018208,10,P1P2,0.764287503,-0.010758375,10,P1P2,0.129378073,-0.006005248,10
NMNAT1,P1P2,0.000143961,-0.152474536,10,P1P2,3.34E-05,-0.156516023,10,P1P2,4.90E-06,-0.153253475,10
NMNAT2,P1P2,0.965309321,-0.00531864,10,P1P2,0.896332233,0.011920846,10,P1P2,0.925403767,0.006175434,10
NMNAT3,P1P2,0.280648327,0.075711186,10,P1P2,0.214011218,-0.019281279,10,P1P2,0.63676775,0.022032686,10
NMRAL1,P1P2,0.048711847,0.051973381,10,P1P2,0.826195398,0.009628677,10,P1P2,0.150702569,0.029124664,10
NMRK1,P1P2,0.530994369,-0.006686855,10,P1P2,0.53043612,0.01715778,10,P1P2,0.392448792,0.002033759,10
NMRK2,P1P2,0.518103772,-0.000532762,10,P1P2,0.487991839,-0.003500038,10,P1P2,0.959237749,0.002170979,10
NMS,P1P2,0.625540963,-0.009364326,10,P1P2,0.033791969,-0.027559451,10,P1P2,0.241649508,-0.011721328,10
NMT1,P1P2,0.211101127,-0.045528235,9,P1P2,0.097502156,-0.032172534,9,P1P2,0.071055428,-0.036568605,9
NMT2,P1P2,0.783939488,-0.039271636,10,P1P2,0.816468285,-0.063273765,10,P1P2,0.680384091,-0.031384227,10
NMU,P1P2,0.588335096,-0.082348928,10,P1P2,0.563136818,-0.080046678,10,P1P2,0.560752759,-0.08545997,10
NMUR1,P1P2,0.050570707,0.042781754,10,P1P2,0.922153037,-0.012449719,10,P1P2,0.291974045,0.015501501,10
NMUR2,P1P2,0.609965858,-0.00017939,10,P1P2,0.19543367,-0.00905151,10,P1P2,0.59437518,0.002329668,10
NNAT,P1P2,0.832953983,-0.012985113,10,P1P2,0.2743413,-0.042919742,10,P1P2,0.261637033,-0.02263037,10
NNMT,P1P2,0.145141185,-0.010594061,10,P1P2,0.706767726,-0.011468517,10,P1P2,0.155390721,-0.014589391,10
NNT,P1P2,0.212125871,-0.046762357,10,P1P2,0.187135105,-0.051276128,10,P1P2,0.159755867,-0.054755601,10
NOA1,P1P2,0.791214327,-0.010825902,10,P1P2,0.007482775,-0.061634253,10,P1P2,0.075295146,-0.026016708,10
NOB1,P1P2,0.270022758,-0.062308279,10,P1P2,0.313989694,-0.076709259,10,P1P2,0.280137143,-0.066943745,10
NOBOX,ENST00000223140.5,0.868525639,0.011692884,10,ENST00000483238.1,0.120438296,0.030858632,10,ENST00000483238.1,0.291574146,0.007092222,10
NOC2L,P1P2,0.000112635,-0.132838368,10,P1P2,0.008035747,-0.137591607,10,P1P2,0.000840652,-0.134107567,10
NOC3L,P1P2,7.16E-08,-0.257332315,10,P1P2,4.96E-08,-0.286340367,10,P1P2,5.00E-08,-0.269124905,10
NOC4L,P1P2,1.29E-05,-0.191409436,10,P1P2,4.99E-06,-0.208305968,10,P1P2,8.82E-07,-0.199857702,10
NOD1,P1P2,0.671133598,-0.038578062,10,P1P2,0.501686308,0.013159477,10,P1P2,0.653696046,-0.011951058,10
NOD2,P1P2,0.731496083,-0.029280971,10,P1P2,0.463521529,0.017750106,10,P1P2,0.928411822,-0.005215011,10
NODAL,P1P2,0.156339438,-0.003779796,10,P1P2,0.237217211,-0.009459497,10,P1P2,0.94346659,-0.00747127,10
NOG,P1P2,0.973891405,-0.020428864,10,P1P2,0.375124933,-0.025554611,10,P1P2,0.462749984,-0.01305031,10
NOL10,P1P2,0.018143384,-0.161272962,10,P1P2,0.001237007,-0.228898275,10,P1P2,0.001540541,-0.195085619,10
NOL11,P1P2,0.000688852,-0.32700279,10,P1P2,2.34E-05,-0.370456176,10,P1P2,7.84E-05,-0.348729483,10
NOL12,P1P2,0.132983877,-0.036744633,10,P1P2,0.244743558,-0.063460004,10,P1P2,0.164213118,-0.059574535,10
NOL3,P2,0.244277162,0.026421427,9,P2,0.83436274,0.003215439,9,P2,0.363223871,0.015093229,9
NOL4,P1P2,0.889519168,0.00368137,10,P1P2,0.527866129,-0.033083444,10,P1P2,0.882732702,-0.011727643,10
NOL6,P1P2,4.71E-08,-0.538094905,10,P1P2,4.66E-08,-0.605301392,10,P1P2,4.66E-08,-0.571698149,10
NOL7,P1P2,0.705396368,-0.093996447,10,P1P2,0.004765823,-0.108771976,10,P1P2,0.120571386,-0.09766906,10
NOL8,P1P2,0.001220806,-0.180817783,10,P1P2,0.003874782,-0.235951078,10,P1P2,0.002287236,-0.20838443,10
NOL9,P1P2,0.000889,-0.132587921,9,P1P2,0.000234395,-0.127324796,9,P1P2,0.000106737,-0.129269499,9
NOLC1,P1P2,0.020662468,-0.102443237,10,P1P2,0.009726153,-0.122618984,10,P1P2,0.009711369,-0.111467954,10
NOM1,P1P2,0.23628589,-0.04599984,10,P1P2,0.476480472,-0.067649914,10,P1P2,0.346655383,-0.070885647,10
NOMO1,P1P2,0.77233917,-0.011460247,10,P1P2,0.04131217,-0.050270485,10,P1P2,0.204538911,-0.038794481,10
NOMO2,ENST00000330537.6,0.843410972,-0.011920442,10,ENST00000330537.6,0.019665117,-0.047970478,10,ENST00000330537.6,0.197663183,-0.020525891,10
NOMO3,P1P2,0.799069142,-0.011460247,10,P1P2,0.130256404,-0.036927098,10,P1P2,0.350098446,-0.017353267,10
NONO,P1P2,0.370784519,0.023326242,10,P1P2,0.001782917,0.038320724,10,P1P2,0.005945457,0.030152453,10
NOP10,P1P2,6.47E-06,-0.286506513,10,P1P2,6.51E-05,-0.315523399,10,P1P2,1.47E-05,-0.301014956,10
NOP14,P1P2,0.000287701,-0.177006039,10,P1P2,1.65E-05,-0.170936137,10,P1P2,0.000172792,-0.171522952,10
NOP16,P1P2,8.08E-06,-0.217967945,10,P1P2,0.007570859,-0.226215268,10,P1P2,9.39E-06,-0.218499356,10
NOP2,P1P2,2.16E-07,-0.472883426,9,P1P2,2.14E-07,-0.603122091,9,P1P2,2.15E-07,-0.532824444,9
NOP56,P1P2,0.819387043,-0.038487837,9,P1P2,0.158779083,-0.01375867,9,P1P2,0.306820903,-0.02145668,9
NOP58,P1P2,3.01E-06,-0.196486048,10,P1P2,8.96E-08,-0.259766397,10,P1P2,1.20E-07,-0.220840692,10
NOP9,P1P2,0.797608827,-0.012194471,10,P1P2,0.148693232,-0.022170834,10,P1P2,0.768763586,-0.024241033,10
NOS1,ENST00000317775.6,0.014898945,-0.044614314,10,ENST00000317775.6,0.71152988,-0.027434836,10,ENST00000317775.6,0.039539247,-0.030631051,10
NOS1AP,P1P2,0.571408619,-0.017002841,10,P1P2,0.226097351,-0.024265294,10,P1P2,0.963647516,-0.016883474,10
NOS2,P1P2,0.912089904,0.01428535,10,P1P2,0.823138588,-0.017027113,10,P1P2,0.909225945,-0.006701462,10
NOS3,P1P2,0.925482776,0.004818865,10,P1P2,0.512674251,-0.008761953,10,P1P2,0.637183505,0.000209826,10
NOSIP,P1P2,0.019548837,-0.033741074,10,P1P2,0.009899833,-0.034325517,10,P1P2,0.001526714,-0.031719539,10
NOSTRIN,P1P2,0.315050793,-0.012220914,10,P1P2,0.111601363,0.002417523,10,P1P2,0.151697986,-0.00719638,10
NOTCH1,P2,0.032438582,0.027519758,10,P1,0.233430408,-0.025995776,10,P1,0.175347537,-0.007429561,10
NOTCH2,P1P2,0.555302394,-0.082642537,10,P1P2,0.780644954,-0.124890068,10,P1P2,0.801673127,-0.122558071,10
NOTCH2NL,P1P2,0.689256088,-0.013669084,10,P1P2,0.021724043,-0.023467416,10,P1P2,0.08243559,-0.020152507,10
NOTCH3,P1P2,0.404822409,-0.068973383,10,P1P2,0.164906428,-0.082497331,10,P1P2,0.14347466,-0.073748461,10
NOTCH4,P2,0.371484737,0.01636496,10,P2,0.410713306,0.015600027,10,P2,0.235845463,0.022516562,10
NOTO,P1P2,0.358930252,-0.006002273,10,P1P2,0.074469742,0.030372841,9,P1P2,0.098801465,0.022187171,9
NOTUM,P1P2,0.149815789,0.013912535,10,P1P2,0.540682988,0.018583414,10,P1P2,0.191551665,0.015307402,10
NOV,P1P2,0.604474359,-0.008279582,10,P1P2,0.076356487,0.015966943,10,P1P2,0.539759861,0.010982352,10
NOVA1,P1P2,0.969599923,0.001575432,10,P1P2,0.903929992,0.009106318,10,P1P2,0.939063635,0.00293168,10
NOVA2,P1P2,0.130968592,-0.074123418,10,P1P2,0.016584639,-0.050041726,10,P1P2,0.006871399,-0.05489256,10
NOX1,P1P2,0.943526542,-0.01230688,10,P1P2,0.901396393,-0.00246444,10,P1P2,0.91407565,0.001247048,10
NOX3,P1P2,0.462161915,0.008500789,10,P1P2,0.954425766,-0.002117168,10,P1P2,0.616742951,0.006808384,10
NOX4,P1P2,0.632149786,-0.012485618,10,P1P2,0.28311747,0.010627334,10,P1P2,0.865293974,0.008191804,10
NOX5,P1P2,0.425301881,-0.012701655,10,P1P2,0.422727336,-0.011608174,10,P1P2,0.335432254,-0.012206611,10
NOXA1,P1P2,0.228493309,-0.037687185,10,P1P2,0.53933667,-0.027052465,10,P1P2,0.195643881,-0.025641998,10
NOXO1,P1P2,0.333758898,0.035375304,10,P1P2,0.354655904,-0.034150444,10,P1P2,0.868960132,0.005555004,10
NOXRED1,P1P2,0.493734476,-0.001503035,10,P1P2,0.937524831,-0.005512448,10,P1P2,0.574964225,0.006400228,10
NPAP1,P1P2,0.773007066,-0.001201739,10,P1P2,0.399880649,-0.020075253,10,P1P2,0.57615616,-0.007019237,10
NPAS1,P1P2,0.624305131,0.010579514,10,P1P2,0.699215234,0.002403933,10,P1P2,0.471131941,-0.004823742,10
NPAS2,P1P2,0.274341562,-0.00729215,10,P1P2,0.186213208,-0.02720527,10,P1P2,0.264743456,-0.044237154,10
NPAS3,P1P2,0.312674541,0.039014656,10,P1P2,0.058270844,0.029272249,10,P1P2,0.050154973,0.028108618,10
NPAS4,P1P2,0.092103059,0.059310381,10,P1P2,0.317215463,-0.008393631,10,P1P2,0.367482735,0.029386115,10
NPAT,P1P2,1.30E-06,-0.286340386,10,P1P2,1.74E-07,-0.367226924,10,P1P2,1.96E-07,-0.326783655,10
NPB,P1P2,0.315471015,-0.005531479,9,P1P2,0.825636843,0.009595811,9,P1P2,0.503595833,-0.000893718,9
NPBWR1,P1P2,0.02048762,0.027849518,10,P1P2,0.565200166,0.023051024,10,P1P2,0.17377593,0.023281015,10
NPBWR2,P1P2,0.309201553,-0.003060093,10,P1P2,0.482897551,-0.020835862,10,P1P2,0.224312647,-0.004709866,10
NPC1,P1P2,0.390699604,-0.009381565,10,P1P2,0.224206892,0.018682057,10,P1P2,0.998954359,-0.001061695,10
NPC1L1,P1P2,0.490526128,-0.010392729,10,P1P2,0.604874763,-0.001050685,10,P1P2,0.755003612,-0.013360411,10
NPC2,P1P2,0.016434928,-0.092283844,9,P1P2,0.000528975,-0.110655349,9,P1P2,0.001082826,-0.099709595,9
NPDC1,P1P2,0.064008551,-0.097761321,10,P1P2,0.047341374,-0.100123201,10,P1P2,0.038544724,-0.098942261,10
NPEPL1,P1P2,0.811791741,-0.009243446,10,P1P2,0.765397018,0.008484045,10,P1P2,0.940917292,0.003520038,10
NPEPPS,P1P2,0.000949999,-0.075294013,9,P1P2,0.043050087,-0.141152198,10,P1P2,0.002234525,-0.101170374,9
NPFF,P1P2,0.93924396,-0.004636951,10,P1P2,0.133462813,-0.02065089,10,P1P2,0.349348115,-0.008695503,10
NPFFR1,P1P2,0.776460527,-0.026682888,10,P1P2,0.604976258,0.004606985,10,P1P2,0.941149022,-0.012674292,10
NPFFR2,P1P2,0.119923566,-0.006107162,10,P1P2,0.114043802,-0.042277969,10,P1P2,0.086206438,-0.020567679,10
NPHP1,P1P2,0.131488785,-0.049226042,10,P1P2,0.133086866,-0.029454934,10,P1P2,0.025976177,-0.031006489,10
NPHP3,P1P2,0.726500727,-0.024871865,9,P1P2,0.932803318,-0.037595678,9,P1P2,0.728065534,-0.031233771,9
NPHP4,P1P2,0.508356592,0.032447729,10,P1P2,0.474771183,-0.001120851,10,P1P2,0.840171631,-0.000926665,10
NPHS1,P1,0.303151244,-0.025369874,10,P2,0.16472956,-0.005561605,10,P1,0.572187586,-0.013087392,10
NPHS2,P1P2,0.11484897,-0.03280325,10,P1P2,0.223265911,0.027636142,10,P1P2,0.637391425,-0.002535019,10
NPIPA8,ENST00000339303.5,0.062503939,-0.03047303,9,ENST00000525596.1,0.360583711,-0.005254373,10,ENST00000339303.5,0.152468654,-0.021812335,9
NPL,P1P2,0.783268905,0.012426662,10,P1P2,0.328244307,-0.019729218,10,P1P2,0.787074061,-0.006334254,10
NPLOC4,P1P2,0.050794266,-0.120012235,10,P1P2,0.631619514,-0.114556693,10,P1P2,0.490156576,-0.109522773,10
NPM1,P1P2,0.204812293,-0.027670055,10,P1P2,0.371378262,-0.034734281,10,P1P2,0.077470179,-0.022467356,10
NPM2,P1P2,0.690756682,-0.008407982,10,P1P2,0.424159119,0.023384784,10,P1P2,0.355682637,0.002926394,10
NPM3,P1P2,0.506679396,-0.042464607,10,P1P2,0.043653064,0.030951143,10,P1P2,0.648451698,0.007976162,10
NPNT,P1P2,0.095668685,-0.033771629,10,P1P2,0.42432775,0.011690657,10,P1P2,0.084199264,-0.008508523,10
NPPA,P1P2,0.221379643,-0.03811073,10,P1P2,0.643144304,-0.044862106,10,P1P2,0.510709242,-0.055136483,10
NPPB,P1P2,0.490251649,-0.005964114,10,P1P2,0.919728419,0.012422583,10,P1P2,0.699050578,0.003790015,10
NPPC,P1P2,0.625953141,-0.015986633,10,P1P2,0.142022126,0.022411769,10,P1P2,0.578742679,0.007263908,10
NPR1,P1P2,0.250566304,-0.00603193,10,P1P2,0.839016804,-0.010924201,10,P1P2,0.254163388,-0.003723899,10
NPR2,P1P2,0.590040408,-0.006660901,10,P1P2,0.985265269,-0.022212252,10,P1P2,0.904148931,-0.012737627,10
NPR3,P1P2,0.004820034,0.032406203,9,P1P2,0.319459198,0.014113532,9,P1P2,0.231818061,0.01353242,9
NPRL2,P1P2,0.500739671,-0.016051915,10,P1P2,0.742751246,-0.026092489,10,P1P2,0.845183948,-0.014012145,10
NPRL3,P1P2,0.548475495,0.015232806,9,P1P2,0.146740106,0.02106363,10,P1P2,0.052840698,0.02605962,9
NPS,P1P2,0.91220606,0.002403696,9,P1P2,0.612704496,-0.017168169,9,P1P2,0.706044409,-0.013380685,9
NPSR1,P1P2,0.524907995,0.013036264,10,P1P2,0.229404799,0.017890553,10,P1P2,0.276907801,0.008992972,10
NPTN,P1P2,0.980039949,-0.014415958,10,P1P2,0.146416501,-0.013399082,10,P1P2,0.253073423,-0.011845601,10
NPTX1,P1P2,0.035398943,0.040054933,9,P1P2,0.877189847,0.01236715,9,P1P2,0.06115676,0.023811832,9
NPTX2,P1P2,0.135822606,-0.09679745,10,P1P2,0.910268214,-0.073865846,10,P1P2,0.367792446,-0.089327731,10
NPTXR,P1P2,0.782039921,0.026707231,10,P1P2,0.019512873,-0.033623915,10,P1P2,0.179747727,-0.002637126,10
